Rd(i), Eu(i), Lat(i), cone(i)
0.705825, 0.007587, 0.050947, 1.020163
0.805825, 0.005487, 0.039647, 1.004163
1.000000, 0.006500, 0.042370, 1.006179
1.000000, 0.005172, 0.048413, 1.049644
0.684466, 0.009882, 0.053158, 0.715750
0.830572, 0.009610, 0.043455, 0.859959
0.910323, 0.004839, 0.051416, 0.872230
0.660357, 0.005257, 0.044948, 0.869662
0.612736, 0.008769, 0.043570, 0.635032
0.830866, 0.005367, 0.046557, 0.871118
0.710056, 0.008468, 0.047268, 0.738973
0.565084, 0.006883, 0.048461, 0.589775
0.855195, 0.007238, 0.051382, 0.894991
0.831060, 0.005307, 0.044854, 0.865469
1.000000, 0.005383, 0.046814, 1.046613
0.901076, 0.0049445, 0.045874, 0.937368
0.975269, 0.0050476, 0.053638, 1.029024
0.554840, 0.006708, 0.045900, 0.579958
0.925825, 0.004727, 0.045746, 0.966593
0.579678, 0.005040, 0.045829, 0.604458
0.678577, 0.005854, 0.052222, 0.711775
1.000000, 0.008027, 0.046213, 1.040036
0.695780, 0.005575, 0.049322, 0.731457
0.797187, 0.004383, 0.051652, 0.839443
0.822538, 0.003590, 0.048236, 0.861123
0.569022, 0.005628, 0.051819, 0.596742
0.796201, 0.006965, 0.049698, 0.594610
0.873242, 0.004893, 0.051310, 0.919650
0.619725, 0.008794, 0.053131, 0.648744
0.797187, 0.004714, 0.054044, 0.838759
0.543670, 0.008252, 0.053667, 0.569761
0.949311, 0.004257, 0.052639, 0.997793
0.619833, 0.009698, 0.051883, 0.647411
0.594488, 0.007449, 0.055970, 0.622231
0.974656, 0.004544, 0.039453, 1.023780
0.974656, 0.005466, 0.049920, 1.020259
0.721211, 0.006313, 0.043898, 0.753334
0.594488, 0.004529, 0.045707, 0.622632
1.000000, 0.005210, 0.053478, 1.050995
0.706325, 0.005184, 0.052985, 0.744960
0.973302, 0.007301, 0.047358, 1.017293
0.572836, 0.006182, 0.044516, 0.593420
0.866511, 0.005761, 0.043720, 0.902719
1.000000, 0.004800, 0.043231, 1.043303
0.917710, 0.005802, 0.051129, 0.962515
0.862850, 0.005012, 0.046328, 0.902945
0.945140, 0.006662, 0.045084, 0.983169
1.000000, 0.008261, 0.043955, 1.037336
1.000000, 0.003262, 0.047867, 1.046847
1.000000, 0.008464, 0.048693, 1.022288
